Vinnie Glover, Kangaskhan, beaver
Minh Lockman, Marowak, dinosaur
Ayanna Kertzmann, Gyarados, eel
Colton Schumm, Dratini, impala
Miss Hunter Rowe, Electabuzz, louse
Francene Ziemann IV, Dewgong, rat
Elia Brown, Ponyta, lizard
Arnulfo Senger, Gloom, raven
Miss Lloyd Rath, Marowak, porcupine
Ai Bahringer PhD, Clefairy, pug
Ms. Bev Casper, Squirtle, louse
Roger Bechtelar, Tentacruel, armadillo
Summer Purdy, Doduo, herring
Mr. Randy Wiza, Dugtrio, water buffalo
Troy Pfeffer II, Nidoking, porcupine
Jamal Gerlach Jr., Nidoking, sea lion
Kandis Hyatt V, Dugtrio, elk
Jin Paucek, Exeggutor, eel
Valene Toy, Wartortle, raven
Dr. Roselle Denesik, Electrode, pig
Misti Cassin, Kingler, armadillo
Carmela Hartmann, Meowth, leopard
Kraig Harber, Ivysaur, crocodile
Shannon Sauer, Geodude, yellowjacket
Mrs. Julio Williamson, Mankey, tiger
Miss Toney Glover, Machamp, chimpanzee
Miss Elly Hansen, Chansey, sardine
Van Orn, Omanyte, turtle 
Ms. Ike Farrell, Mew, gerbil
Rosalva Frami MD, Nidoran, kangaroo
Ricky Legros, Weepinbell, woodchuck
Seth Rogahn, Spearow, cricket
Alphonse O'Keefe, Ivysaur, swan
Solomon Treutel, Eevee, serval
Kip Harber Jr., Staryu, cricket
Pete Willms, Golduck, eel
Elli Hickle, Kabuto, cricket
Ms. Soila Larson, Nidoqueen, rhinoceros
Harmony Price IV, Seel, horse
Milan Bednar, Abra, wombat
Mia Lind, Chansey, trout
Lashonda Klocko, Geodude, termite
Antony Greenfelder, Tauros, turtle 
Alejandra Ratke, Mankey, gorilla
Ms. Rueben Witting, Clefairy, pug
Timothy Jones, Jynx, hippopotamus
Blaine Mertz, Tentacruel, porpoise
Mrs. Filomena Marquardt, Sandshrew, woodchuck
Edmond Champlin, Nidoran, goldfish
Rod Glover, Charmeleon, jellyfish
