Rosie Jakubowski DVM, Goldeen, fish
Ahmad Senger PhD, Starmie, porpoise
Antonia Adams, Horsea, wasp
Cathi Littel, Jolteon, mink
Mr. Brandi Lesch, Ivysaur, ant
Odis Ratke, Charmeleon, cricket
Daina Bernhard I, Fearow, macaw
Augustus West, Venomoth, reindeer
Mrs. Doretta Hagenes, Nidoqueen, baboon
Christoper Kuvalis MD, Jolteon, chimpanzee
Carmelina Schinner, Sandslash, caribou
Ms. Genny Grant, Dugtrio, guinea pig
Phuong Harris, Metapod, hippopotamus
Dr. Ofelia Heller, Venomoth, clam
Filiberto Bogan, Rapidash, hare
Suzanne Kuhn, Machop, water buffalo
Natalya Cassin MD, Scyther, cockroach
Luna Hagenes I, Nidorino, serval
Dr. Jae Mraz, Rattata, impala
Virgil Herman, Nidorina, scorpion
Christoper Hermiston, Bulbasaur, ant
Jonas Bayer, Jynx, bee
Arnulfo Beatty, Farfetch'd, cockroach
Gerald Kunze II, Jigglypuff, beetle
Heriberto Boyle, Flareon, otter
Malika Jerde, Omastar, platypus
Dot Boyer, Ekans, leopard
Janeen Pagac, Abra, cricket
France Casper, Marowak, skunk
Elva Ortiz Jr., Exeggcute, eel
Annabel Purdy, Kingler, pug
Genaro Weissnat, Magneton, tiger
Annelle Mante, Poliwag, monkey
Wei Corwin DDS, Poliwrath, rabbit
Rosario Will, Mewtwo, mule
Mrs. Jacklyn Mitchell, Goldeen, buffalo
Dr. Mauricio Hermiston, Kabuto, worm
Mrs. Myesha Marks, Vulpix, oyster
Ardelle Keeling, Golduck, spider
Monty Kuhn, Kingler, prairie dog
Kerrie Willms, Dragonair, mouse
Cletus Prohaska, Mewtwo, mule
Jamel Langosh, Arcanine, hare
Robby Cremin, Marowak, antelope
Son Hickle, Tangela, ant
Mrs. Enola Terry, Geodude, raccoon
Albert Reilly, Flareon, lion
Benton O'Connell, Koffing, cicada
Myron Wiegand, Slowbro, grasshopper
Romana Abshire III, Machamp, crow
