Royce Kautzer, Wartortle, beaver
Louis Bahringer V, Mr. Mime, cheetah
Raleigh Treutel, Sandslash, hare
Forest Moore, Grimer, weasel
Mrs. Rachelle Goodwin, Weezing, mouse
Andres Macejkovic DVM, Nidoran, duck
Jodi Wilderman, Machop, beetle
Dr. Neville Kunze, Articuno, dog
Jina Nader, Porygon, wasp
Rickey Gislason, Gastly, armadillo
Miss Robbie Ziemann, Dodrio, yak
Sherilyn Stroman, Pidgeotto, donkey
Ciara Baumbach, Dratini, salmon
Salome Jerde MD, Seadra, squirrel
Jeff Balistreri, Slowpoke, donkey
Aleta Smith, Shellder, minnow
Margarito Wilkinson, Ekans, raccoon
Morgan Wyman, Dugtrio, wasp
Elaine Cassin DVM, Haunter, turtle 
Miss Orlando Wiegand, Charizard, rhinoceros
Damien Cartwright, Mew, walrus
Sylvia Mills, Machop, minnow
Iliana Thompson, Slowpoke, badger
Perry Prosacco, Rattata, leopard
Lamonica Satterfield, Seel, rhinoceros
Stevie McClure, Nidorino, duck
Sam Jacobs IV, Victreebel, kangaroo
Miss Ezekiel Gaylord, Eevee, ant
Tijuana Wunsch, Electabuzz, cod
Dr. Leonora Schiller, Kabutops, camel
Rozella Kutch, Arbok, mammoth
Ms. Stepanie Homenick, Fearow, dinosaur
Justin Trantow, Weedle, mule
Ulysses Spencer II, Gloom, ant
German Lehner, Ivysaur, mouse
Sydney Pouros, Muk, hippopotamus
Kandi Hermann, Poliwhirl, dinosaur
Mikaela Effertz, Growlithe, cockroach
Giovanna Schiller, Ditto, crocodile
Yong Runolfsdottir, Dragonair, fish
Raul Braun, Dodrio, jellyfish
Mrs. Shameka Senger, Nidorino, spider
Reginia Armstrong, Jolteon, water buffalo
Kim Mertz V, Metapod, bee
Mr. Debby Fritsch, Graveler, eel
Heriberto Hauck, Pidgey, cicada
Emmanuel Vandervort, Kingler, hornet
Evelyn Weissnat, Vaporeon, alligator
Rich Jacobs, Omanyte, jellyfish
Lorenzo Schowalter, Onix, caribou
