Forest Walter, Arcanine, yellowjacket
Tommye Runte, Shellder, pig
Miss Ellis Bogan, Jynx, worm
Antonette Mraz, Metapod, snail
Sung Beier, Jolteon, deer
Gearldine Lind II, Bellsprout, worm
Joesph Abbott IV, Arcanine, hyena
Leonora Kris, Poliwrath, cricket
Titus Brekke, Charmander, reindeer
Charlie Schultz II, Tentacool, fox
Dr. Marvel Mayert, Persian, alpaca
Eugenia Lang, Goldeen, sea lion
Ms. Fay Smitham, Poliwag, wolf
Nannie Stanton DVM, Beedrill, turtle 
Jacqulyn Farrell I, Muk, spider
Augustina Bergstrom, Exeggcute, worm
Mrs. Lee Kerluke, Magneton, squirrel
Weldon Rodriguez, Haunter, elephant
Clyde Gleason, Rhyhorn, fish
Letty Prohaska, Sandslash, koala
Irvin Hudson Jr., Wigglytuff, ape
Brant Hodkiewicz, Raichu, badger
Dr. Colin Cormier, Dragonair, jellyfish
Willy Feeney, Geodude, wombat
Rodolfo Johns, Magikarp, raven
Mr. Krystle Schowalter, Tauros, raven
Mercy Huels, Zapdos, antelope
Wm Rohan, Clefable, snail
Junko D'Amore, Wigglytuff, eel
Kyoko Murazik, Aerodactyl, mosquito
Joanne Sawayn, Rattata, kangaroo
Alvin Wiegand, Jynx, ferret
Shella Erdman, Meowth, moose
April Jones, Weepinbell, badger
Galen Spinka, Pidgeot, alligator
Gaylord Corkery, Golduck, cat
Holley Schulist, Abra, sheep
Mrs. Barbie Hamill, Ekans, hippopotamus
Arnoldo Hoeger DVM, Golbat, pug
Mrs. Clarita Larkin, Raichu, elk
Dr. Joyce Little, Jolteon, salmon
Alfredo Jerde, Clefairy, rhinoceros
Dr. Bertie Fay, Magnemite, crow
Jazmine Schulist MD, Electrode, water buffalo
Val Erdman, Metapod, beetle
Conrad Schiller, Weepinbell, dolphin
Kristal Barton MD, Growlithe, rabbit
Belen Simonis, Oddish, raccoon
Dr. Brad Kreiger, Ninetales, scorpion
Linnie Nolan, Machamp, elk
