Ava Conroy, Primeape, mallard
Jimmie Haley I, Dugtrio, wolf
Sonia Gislason, Seaking, sardine
Carley Streich V, Diglett, serval
Ty Russel, Snorlax, crow
Loria Mills, Exeggutor, reindeer
Jerold Torp, Slowbro, chinchilla
Dianne Kulas, Magneton, hyena
Quinton Goyette, Flareon, water buffalo
Garland Bradtke, Nidorino, armadillo
Chester Stamm, Farfetch'd, eagle
Morgan Murray, Kabuto, hamster
Angelika Wilkinson, Mankey, mammoth
Alexa Effertz, Shellder, pug
Melania Schuster, Caterpie, ferret
Romaine Bailey, Jynx, wombat
Mr. Violeta Jenkins, Farfetch'd, moose
Ms. Theodore Schimmel, Muk, pug
Wendi Abernathy, Onix, chinchilla
Elias Mann, Chansey, crab
Salley McClure, Venomoth, hippopotamus
Miss Apolonia Goodwin, Charmeleon, rat
Percy Feeney, Magneton, mallard
Marilyn Stroman DDS, Abra, clam
Dr. Marcy Jacobs, Dragonair, gerbil
Janee Greenholt II, Kabuto, caribou
Harland Simonis I, Dodrio, elk
Hector Bahringer, Wigglytuff, rabbit
Stacy Mayer II, Mankey, locust
Nicky Pacocha, Rapidash, minnow
Gladys Reilly, Geodude, cockroach
Cyril Upton, Rapidash, elephant
Virgina Lemke, Arcanine, bear
Florencio Wiza, Nidoran, giraffe
Jonas Greenholt, Weedle, chimpanzee
Xiomara Jast, Magmar, elephant
Jeremy Thompson, Charmander, swan
Sharen Altenwerth, Sandslash, frog
Rashad Gerhold, Dewgong, swan
Gail Satterfield, Exeggutor, donkey
Elvis Gorczany, Pikachu, llama
Kizzy Zboncak, Venomoth, marten
Mr. Rhoda Corkery, Machoke, cheetah
Ricarda Mann III, Weepinbell, platypus
Eve Ritchie, Articuno, cod
Logan Heaney, Ditto, sheep
Myrle Mosciski, Koffing, manatee
Alfonso Lebsack, Eevee, water buffalo
Dr. Randal Nolan, Ekans, turtle 
Abram O'Conner, Rhydon, gnat
