Ilse Feest, Nidoran, elephant
Hollie Zemlak, Marowak, jellyfish
Ms. Beverly Daniel, Raichu, wolf
Ms. Craig Yost, Beedrill, crocodile
Thomas O'Connell, Chansey, cockroach
Tyesha Sauer, Vileplume, cod
Oren Windler, Cubone, salmon
Owen Cartwright, Porygon, raccoon
Fernando Hackett, Omastar, trout
Donovan Skiles, Raticate, bat
Carlyn Murphy, Primeape, goat
Mr. Susannah Zieme, Ninetales, pug
Mr. Harland Goldner, Dodrio, clam
Monroe Goodwin, Cloyster, ferret
Mrs. Paul Hegmann, Paras, dinosaur
Arnoldo Langosh I, Ponyta, dog
Reta Collins, Voltorb, whale
Adriane Corwin, Machoke, crow
Mr. Beau Daniel, Meowth, sheep
Ms. Kandis Kerluke, Graveler, otter
Natisha Hamill, Rattata, mule
Rob Olson III, Lickitung, llama
Rosario Kris, Exeggcute, gorilla
Desirae Wisozk, Kabutops, zebra
Mrs. Von Sawayn, Golduck, hornet
Miss Dominick Langosh, Arbok, rat
Rickey DuBuque III, Grimer, muskrat
Kai Sporer, Muk, skunk
Ms. Leif Parker, Gyarados, tiger
Florinda Gibson, Dewgong, mink
Frida Mayer PhD, Drowzee, hyena
Harry O'Hara, Dratini, wolf
Dr. Julianna Koepp, Paras, horse
Marion Rempel, Weezing, chinchilla
Mrs. Ela Kunze, Golbat, macaw
Cassandra Jaskolski, Jynx, seal
Angie Larkin, Caterpie, hornet
Dr. Rosia Daniel, Butterfree, weasel
Miss Shalanda Senger, Vulpix, coyote
Miss Monroe Lindgren, Seaking, wasp
Jarvis Trantow Jr., Gloom, wolf
Gene Raynor, Blastoise, serval
Ms. Pearlene Grant, Mankey, armadillo
Kam Zemlak, Magneton, mammoth
Pura Lynch, Raichu, chinchilla
Rocco Jacobi, Scyther, squirrel
Nicholle Funk, Mewtwo, mallard
Dimple Bernhard, Oddish, herring
Lasandra Murphy, Lickitung, porpoise
Ethelyn Homenick, Exeggcute, manatee
