Bob Macejkovic, Rattata, leopard
Doyle Hudson, Krabby, moose
Ms. Avril MacGyver, Clefable, gnat
Ms. Renato Littel, Horsea, koala
Dean Greenfelder, Beedrill, panda
Cristina Hackett, Flareon, tiger
Rose Weissnat, Eevee, porcupine
Enid Nitzsche, Spearow, woodchuck
Mr. Julia Grady, Omanyte, louse
Delmar Spencer, Abra, platypus
Bettyann Ortiz, Scyther, cricket
Ms. Nigel Feest, Seadra, chinchilla
Aldo Purdy, Arbok, donkey
Romona Ankunding, Magneton, hamster
Carolynn Green, Ekans, camel
Peggie Koepp, Tentacool, bat
Johnny Block, Electabuzz, termite
Mrs. Cori Hoppe, Psyduck, frog
Miss Lana Buckridge, Haunter, cattle
Jenice Hills V, Jigglypuff, ox
Reginald Bartell, Golbat, chinchilla
Laurie Reichel, Paras, sheep
Dorthey Schuster, Golbat, bee
Roma Schmidt, Aerodactyl, cattle
Miss Penny Lynch, Staryu, whale
Piedad Kuhn IV, Squirtle, shark
Christel Wunsch, Chansey, skunk
Slyvia Schinner II, Farfetch'd, ferret
Miss Penelope Hoeger, Drowzee, scorpion
Deloris Hyatt, Jigglypuff, minnow
Blair Bogan, Electabuzz, crow
Len Barrows, Aerodactyl, horse
Roberto Miller, Magikarp, water buffalo
Morris Schoen, Primeape, skunk
Miss Ross Krajcik, Sandslash, scorpion
Frank Thiel, Butterfree, elk
Mrs. Rex Beatty, Cubone, gnu
Mr. Mayme Bayer, Raichu, sardine
Dr. Lila Grant, Dewgong, tiger
Mr. Damion Runte, Grimer, eagle
Dwight Donnelly, Weezing, beaver
Mr. Andre Heller, Nidoqueen, panda
Fredrick Klocko, Goldeen, coyote
Maile Harris, Pidgeotto, elephant
Mrs. Otelia Oberbrunner, Kabutops, yak
Dottie Pfannerstill DVM, Mankey, mule
Hanna Fay Jr., Oddish, mammoth
Filiberto Howe, Seel, prairie dog
Rafael Volkman, Bellsprout, weasel
Lanny Kautzer III, Pidgey, beaver
