Emmett Hudson IV, Vileplume, salmon
Elbert Doyle MD, Arcanine, dolphin
Anisa Nicolas, Krabby, donkey
Bonnie Hettinger, Jigglypuff, ferret
Vernon Hansen, Clefairy, hamster
Eldon Jones, Pikachu, termite
Mr. Krista Goyette, Slowbro, monkey
Ardelle Mante Sr., Magneton, mallard
Colby D'Amore, Kangaskhan, eagle
Louvenia Mayert, Paras, hippopotamus
Vivienne Zulauf, Cloyster, pug
Carlton Weber, Snorlax, toad
Blake Littel Jr., Paras, beaver
Judy Corwin, Voltorb, fox
Charis Leannon, Nidorina, rabbit
Alane Murazik, Mew, jackal
Dr. Gidget Hilll, Electrode, ferret
Leah Senger, Nidorino, donkey
Gema Waters II, Sandshrew, mole
Becki Grant MD, Gloom, chinchilla
Nick Nolan, Electabuzz, muskrat
Jesica McGlynn DDS, Rattata, macaw
Joya Schumm, Magneton, snake
Dr. Olin Sanford, Porygon, salmon
Barton Cremin, Ninetales, hedgehog
Tamesha Mohr, Onix, elephant
Isaias Heller, Kakuna, lizard
Wilson Kris, Gloom, crab
Oswaldo McClure, Seaking, pug
Liz Sporer, Eevee, buffalo
Felton Jones, Venonat, grasshopper
Tia Fay, Golbat, armadillo
Antonina Waelchi, Chansey, panda
Rebecca Carroll MD, Kakuna, beaver
Nicolle Marks, Mewtwo, moose
Jorge Orn, Raticate, cicada
Keshia Williamson, Venonat, reindeer
Mrs. Edmund Emard, Rattata, impala
Scotty Ankunding, Slowpoke, monkey
Aleen Ankunding, Golem, buffalo
Mr. Jacquetta Parker, Grimer, rabbit
Garth Howe, Doduo, bear
Dr. Carolynn Rohan, Lapras, eel
Mr. Tory Olson, Dugtrio, crocodile
Truman Kris, Graveler, mallard
Evelyn Hauck, Muk, sardine
Mr. Son Pouros, Grimer, guinea pig
Rob Metz, Caterpie, cockroach
Jarvis Hyatt I, Gloom, hedgehog
Dr. Riley Wiza, Magmar, llama
