Tabetha Daniel, Electabuzz, manatee
Darren Bergstrom, Sandshrew, duck
Jacklyn Wolff, Magmar, bat
Saul Torp, Sandslash, cicada
Bud Beatty, Butterfree, dog
Mickey Denesik III, Vaporeon, hyena
Sharika Larkin, Electabuzz, koala
Shawn Kshlerin, Caterpie, mule
Jimmie Wilderman, Kadabra, buffalo
Ivonne Cronin, Ekans, clam
Ms. Zack Grady, Hypno, eel
Mr. Rachell Kemmer, Charmander, rhinoceros
Dwain Ratke Jr., Porygon, cod
Agatha Bauch Jr., Kabutops, ant
Alyssa Williamson, Chansey, hamster
Wiley Stanton, Muk, cricket
Isa Reynolds, Pinsir, elk
Cory White III, Poliwhirl, ferret
Mark Wunsch, Zapdos, scorpion
Louie MacGyver, Rhydon, goose
Dr. Tim Rowe, Pikachu, camel
Cliff Pouros, Rhydon, otter
Norman Walker, Aerodactyl, hippopotamus
Ms. Rocky Schinner, Clefable, leopard
Alden Cremin, Scyther, toad
Harvey Lesch, Raichu, water buffalo
Jules Von, Raichu, raccoon
Lorita Zemlak, Omastar, mule
Mabelle Mraz, Jigglypuff, coyote
Mr. Estrella Turcotte, Blastoise, fox
Terese Turner, Staryu, oyster
Barbara Ward, Muk, dog
Darcie Barton, Ditto, oyster
Mozelle Lynch, Blastoise, mouse
Mr. Keith Glover, Magikarp, cheetah
Mr. Rodrigo Larson, Parasect, cheetah
Ashley Considine, Articuno, crow
Angelia Wilderman, Dodrio, minnow
Shane Kemmer, Nidoqueen, guinea pig
Jarred Bode, Poliwrath, locust
Dr. Armida Ferry, Sandslash, toad
Ed Schroeder, Oddish, platypus
Earle Will, Kingler, baboon
Clemencia Rice Jr., Ninetales, cheetah
Coy Romaguera V, Butterfree, ox
Alberto Terry, Kingler, cicada
Sharmaine Kemmer III, Exeggutor, snail
Mrs. Chuck Mitchell, Weezing, clam
Tammie Morissette, Grimer, raccoon
Eufemia Feil, Marowak, lion
