Scotty Glover, Venusaur, antelope
Alpha Morissette, Poliwrath, grasshopper
Mikki Lockman Jr., Raticate, giraffe
Angila Rutherford I, Aerodactyl, dinosaur
Andre Parker, Beedrill, manatee
Rodolfo Koss, Fearow, platypus
Fernanda Brown V, Rhyhorn, caribou
Alfred Rogahn MD, Jolteon, moose
Refugio Tillman, Pidgeotto, shark
Deanne Fadel, Muk, mallard
Cyril Auer, Arcanine, bat
Dr. Crysta Borer, Electrode, mallard
Mrs. Emogene Morissette, Krabby, bee
Benny Cronin, Onix, giraffe
Dolly Kutch, Spearow, platypus
Rolf Effertz, Pidgeot, dog
Rickie Shanahan, Magnemite, caribou
Johnathan Hamill, Raichu, mosquito
Collen Gutkowski, Seel, tiger
Miss Kathline Hilpert, Drowzee, weasel
Rea Volkman, Weepinbell, bat
Mr. Twyla Wyman, Diglett, gorilla
Mr. Lana Flatley, Sandshrew, snail
Cris Weissnat, Marowak, hyena
Gerard McLaughlin DDS, Ditto, kangaroo
Lupe Kessler V, Magmar, pig
Mrs. Sherice Bogisich, Koffing, ox
Lupe Gulgowski MD, Grimer, monkey
Raeann Reichel, Tauros, tortoise
Trinidad Ullrich Jr., Raticate, goat
Jack Schmidt Jr., Wartortle, buffalo
Everette King, Porygon, muskrat
Marguerita Fadel, Machamp, grasshopper
Heriberto Hackett, Metapod, fly
Gladys Reilly, Sandshrew, snake
Jorge Dicki, Scyther, koala
Irish Bahringer, Zapdos, water buffalo
Abraham Prohaska I, Moltres, grasshopper
Bernardine Lehner, Vulpix, kangaroo
Tamera Greenfelder, Charizard, dinosaur
Sol Hills, Rapidash, porpoise
Myles Feeney DVM, Machoke, sardine
Jake Jones, Golbat, tiger
Orpha Corwin, Magmar, zebra
Nolan Williamson Sr., Meowth, mallard
Filiberto Schmeler, Farfetch'd, hyena
Jaime Torphy DDS, Muk, clam
Talitha Stroman, Sandslash, raven
Twanda Friesen MD, Squirtle, moose
Nia Thiel, Charizard, reindeer
