Argentina Kulas, Pinsir, turtle 
Loris Bartoletti DDS, Sandshrew, porcupine
Landon Rempel, Venonat, muskrat
Sigrid Murray I, Weepinbell, macaw
Lawana Green, Machoke, buffalo
Makeda Armstrong, Golduck, hornet
Kyla Weimann, Hypno, monkey
Trang Schamberger Jr., Muk, crab
Shantay Johnston, Kingler, llama
Cyril Hane, Nidorino, goose
Hugo Larkin, Pidgeot, bee
Omar McClure, Magmar, moose
Guy Welch, Vaporeon, snail
Meghann Moen, Vaporeon, water buffalo
Janeth Pouros, Pidgey, elk
Davis Marvin, Omanyte, donkey
Sergio Pagac, Goldeen, locust
Caron Kovacek, Dragonite, buffalo
Brain Schmitt, Psyduck, duck
Priscila Marvin, Krabby, weasel
Ms. Glenn Tromp, Pidgeot, prairie dog
Scarlett Lang, Porygon, jackal
Ms. Kera Fahey, Vileplume, donkey
Mr. Jasmin Strosin, Seel, cockroach
Dr. Lou Smith, Venomoth, grasshopper
Crystle Friesen II, Kabuto, salmon
Christia Schinner, Poliwhirl, camel
Bert Schimmel, Oddish, wolf
Evangeline Doyle III, Sandslash, marten
Dr. Mose Luettgen, Meowth, sheep
Lakeesha Walsh DDS, Poliwhirl, impala
Natalya Senger, Dragonite, cicada
Maryland Jacobi I, Bellsprout, monkey
Casey Kutch Jr., Butterfree, pig
Ardelle Rosenbaum, Omanyte, rat
Tracy Blick, Omastar, gnu
Ezekiel Orn Sr., Diglett, turtle 
Emelda Franecki, Alakazam, rhinoceros
Lynn Goldner, Machop, alpaca
Shenika McKenzie, Golduck, buffalo
Dr. Andra Lynch, Charmander, alligator
Toby Shanahan, Meowth, cod
Sherri Abshire, Growlithe, ant
Carie Weissnat, Wigglytuff, ferret
Tambra Altenwerth, Machoke, leopard
Cecilia Boehm, Omanyte, butterfly
Beatriz Rice, Machoke, mallard
Mrs. Dave Schaefer, Vulpix, bat
Dr. Arlie Roberts, Rhyhorn, coyote
Mitch Kohler, Venomoth, gerbil
