Ginger Roberts, Arcanine, cicada
Mrs. Mauricio Stark, Pikachu, snail
Corazon Thompson, Nidoran, koala
Mrs. Leonard Hoeger, Dewgong, ant
Horacio Bauch, Tentacool, mallard
Wilda O'Hara, Kadabra, goat
Leandro Williamson, Hitmonchan, pug
Enoch Hermann, Haunter, seal
Brenton Brakus, Machop, hare
Vicky Ernser, Omastar, hyena
Miss Kendra Christiansen, Dratini, porcupine
Floyd Tillman III, Electrode, rhinoceros
Emmanuel Kling, Pidgeotto, grasshopper
Lupe Stark MD, Chansey, serval
Gwendolyn Murazik, Nidorina, herring
Lola Borer, Electrode, grasshopper
Dorcas Dooley, Dragonite, coyote
Billy Renner, Nidoran, deer
Brigitte Kiehn, Nidoking, horse
Ms. Marcelino Oberbrunner, Koffing, beetle
Justine Sauer, Weepinbell, cod
Rudy Olson DVM, Moltres, skunk
Michal Christiansen DDS, Magmar, sheep
Gigi Jacobs, Jolteon, gnu
Karima O'Conner, Sandslash, hyena
Dr. Tyrone Marks, Meowth, armadillo
Melba D'Amore, Gastly, elephant
Adella Klocko I, Seaking, hedgehog
Venus Kemmer, Seadra, lion
Mr. Lyndon Schaden, Tentacool, panda
Rolland Kunde, Horsea, crocodile
Mika Reichert IV, Wigglytuff, caribou
Corey Funk, Paras, deer
Emerson Ratke, Parasect, yak
Lanny Keeling, Starmie, prairie dog
Azzie Schmidt, Electabuzz, cricket
Enrique Wehner, Dragonair, alpaca
Gerry Mante, Vileplume, toad
Janina Sauer, Bulbasaur, beaver
Tessa Johnston, Gloom, chimpanzee
Frieda Hamill, Charizard, raven
Mark Beahan, Graveler, reindeer
Luana Wuckert, Clefable, weasel
Isaac Armstrong, Kangaskhan, prairie dog
Miss Malcolm Reichel, Beedrill, minnow
Shantel Herzog, Electabuzz, bat
Houston Daniel DVM, Dragonite, goat
Ms. Carmon Kunde, Ekans, pug
Natisha Rau DVM, Slowpoke, hamster
Waylon Leuschke DVM, Vaporeon, fish
