Miss Mohammad Flatley, Zapdos, trout
Norris Pollich PhD, Gastly, walrus
Paul Goldner, Pikachu, whale
Mr. Johnie Stokes, Tangela, minnow
Alex Prosacco, Cubone, jellyfish
Kamala Will, Nidoran, scorpion
Dino Smith, Ninetales, camel
Mr. Ted Turner, Spearow, porcupine
Eufemia Cassin, Mewtwo, hedgehog
Dr. Tami Gislason, Weepinbell, dolphin
Elbert Macejkovic, Parasect, rhinoceros
Miss August Larson, Scyther, panda
Tyler Schaefer, Mewtwo, bat
George Harber, Clefable, wasp
Catherin Stiedemann III, Mew, leopard
Hilario Rohan, Oddish, clam
Hoyt Metz, Gastly, cockroach
Edris Steuber, Rattata, mole
Freeman Howe DDS, Kabuto, woodchuck
Krista Homenick, Primeape, wolf
Everett Weissnat, Dratini, leopard
Devin Kozey, Kangaskhan, llama
Patience McCullough, Ditto, rhinoceros
Vella Parisian, Mewtwo, bear
Aline Leuschke I, Jolteon, bear
Lauran Funk III, Meowth, impala
Burt Metz I, Gastly, raven
Wilburn Ankunding, Vaporeon, rabbit
Mikel Rohan, Wartortle, goose
Farah Harber, Seaking, leopard
Noel Hagenes, Haunter, louse
Jeff Marquardt, Doduo, gorilla
Ozella Pacocha, Paras, mink
Miss Leslee Schulist, Clefairy, trout
Nathaniel Wyman PhD, Pidgeot, guinea pig
Royce Paucek, Pinsir, minnow
Vincent Ondricka MD, Articuno, rabbit
Ms. Harriet Willms, Ninetales, louse
Boris Hamill, Caterpie, monkey
Trent Frami, Metapod, herring
Becki Baumbach V, Metapod, cicada
Alexander Halvorson, Moltres, yellowjacket
Leonel Funk, Poliwhirl, snake
Makeda Bogisich, Dragonair, trout
Lane Kirlin, Magikarp, camel
Guillermina Kuhlman, Rattata, macaw
Ola Wolf, Seaking, crow
Ms. Clyde Bahringer, Kangaskhan, chimpanzee
Irvin Thompson, Koffing, manatee
Aimee Lakin V, Tentacruel, horse
