Marcellus Beatty, Seel, termite
Flora West, Magnemite, ox
Dr. Antoinette Bergstrom, Parasect, serval
Howard Littel, Butterfree, baboon
Minh Wilderman, Moltres, pig
Roger Kerluke, Kangaskhan, sheep
Erick Gusikowski, Krabby, bee
Roger Balistreri, Lapras, llama
Ashlee Bosco, Poliwag, jackal
Renaldo Terry, Dodrio, dolphin
Virgen Rodriguez, Machamp, rabbit
Bart Boehm, Abra, salmon
Leigh Feeney, Clefairy, locust
Jerry Rohan II, Shellder, alligator
Jeremiah Reichel, Rapidash, lizard
Herschel Bashirian, Nidoran, cat
Merrilee Funk, Tentacool, fish
Juanita Jacobi I, Ekans, rabbit
Oliver Kovacek, Venusaur, walrus
Lashon Cassin, Nidorina, duck
Kathyrn Zulauf, Tentacool, buffalo
Miss Leslie Jones, Oddish, hamster
Marquita MacGyver, Venomoth, crow
Louetta Kohler, Persian, wasp
Merle Nader, Gastly, yak
Emory Corwin, Muk, giraffe
Cherilyn Ebert, Wartortle, cattle
Logan Gaylord, Machamp, snake
Homer Schuster, Clefable, panda
Stephani Block III, Jolteon, whale
Latoya Rolfson, Ninetales, salmon
Ethyl Prosacco, Rhyhorn, frog
Sherise Shanahan, Venusaur, crow
Griselda Cummings, Scyther, serval
Gabrielle Champlin, Fearow, porpoise
Katy Hodkiewicz, Fearow, monkey
Morton Sanford, Sandshrew, mink
Julene Schultz, Vileplume, crow
Dannielle Emmerich IV, Electrode, wallaby
Harry Roob, Tangela, camel
Shameka Kemmer, Tentacruel, crow
Kip Cole DVM, Electrode, elk
Ray Kutch, Haunter, woodchuck
Damien Frami, Magnemite, oyster
Shaunda Halvorson, Omastar, leopard
Mr. Ambrose Emmerich, Wartortle, caribou
Marget Rath, Zubat, swan
Maria Kuhic, Sandshrew, guinea pig
Jude Erdman, Pidgeot, wasp
Nedra Turcotte MD, Kabutops, shark
