Mr. Timmy Rosenbaum, Nidorino, wildebeest
Mrs. Danyell Kunze, Scyther, rat
Paul Moore, Poliwag, goldfish
Oren Howell, Snorlax, cattle
Jerrod Emmerich Jr., Seel, armadillo
Aubrey Berge, Vaporeon, locust
Jody Bahringer, Dratini, hornet
Erlene Bode, Porygon, swan
Sanjuanita Hessel, Kangaskhan, hyena
Sunday Bartell, Scyther, wolf
Lanita Kilback II, Jynx, leopard
Gregory Okuneva DDS, Eevee, crow
Micah Mayer, Sandslash, whale
Nanette Ebert, Seel, ape
Mrs. Gerard Kilback, Pidgey, caribou
Tyisha Ortiz, Pidgey, rhinoceros
Darlene Hodkiewicz, Magmar, ape
Arthur Cronin, Ivysaur, leopard
Alpha Watsica, Pidgeotto, mole
Maribel Thiel, Dragonite, bear
Wes Adams PhD, Mankey, ant
Glayds Halvorson, Drowzee, badger
Janna Gaylord, Dratini, coyote
Travis Gulgowski PhD, Kangaskhan, mammoth
Maybell Upton Sr., Lapras, panda
Dr. Cammy Howe, Charizard, rat
Gerry Corwin, Mr. Mime, snake
Miss Cornell Becker, Gloom, ferret
Miss Darin Rath, Butterfree, jackal
Cammie Nienow, Krabby, porpoise
Annabel Zulauf, Poliwrath, hound
Vito Breitenberg, Haunter, alligator
Forest Kozey, Oddish, spider
Thaddeus O'Hara, Snorlax, ape
Eddie Howe, Clefairy, jackal
Hilma Dibbert, Gloom, skunk
Maisha Gulgowski, Psyduck, mouse
Lyman Armstrong, Tangela, worm
Ms. Jolynn Leuschke, Clefairy, alligator
Alvaro Rohan II, Farfetch'd, hedgehog
Warner Hickle, Cubone, donkey
Cristal Stehr, Kingler, oyster
Paul Denesik, Scyther, fish
Clifford Mosciski, Hypno, whale
Dr. Mui Heathcote, Victreebel, cockroach
Mr. Olin Bradtke, Flareon, caribou
Jannie Johnson, Articuno, hound
Myriam Hilpert, Pidgeotto, pig
Troy Casper, Kangaskhan, woodchuck
Hai Skiles, Cubone, water buffalo
