Darell Bartoletti, Primeape, caribou
Miquel Barrows Sr., Starmie, elk
Kimber Okuneva, Staryu, gnu
Alpha Kohler, Pidgey, giraffe
Neil Stiedemann, Magikarp, hyena
Dotty Schumm, Seaking, crow
Mrs. Dorine West, Onix, elk
Anton Legros, Blastoise, hippopotamus
Tomas Friesen, Kingler, cicada
Mercedez Mitchell, Kingler, walrus
Reynalda Lebsack, Staryu, water buffalo
Georgiann Lang V, Dugtrio, prairie dog
Adrien Considine, Arcanine, termite
Micah Schulist, Hypno, cockroach
Ashley Osinski, Dewgong, wombat
Dia Ledner, Caterpie, horse
Tamisha Gleason, Pikachu, hornet
Tiesha Abbott, Gengar, bat
Santiago O'Reilly, Cubone, hound
Genna Ruecker MD, Cubone, rabbit
Caleb Hoeger, Hitmonchan, sheep
Lynna Hoppe DVM, Pikachu, snake
Dennis Bode, Bellsprout, beaver
Ginny Pfannerstill, Moltres, goat
Marylin Fay, Seadra, jellyfish
Dr. Beau Lindgren, Dodrio, crocodile
Jon Haag, Golbat, porcupine
Callie Erdman, Magikarp, butterfly
Helga Windler, Gloom, wasp
Natashia Murazik, Gengar, raccoon
Dawna Wolf, Kadabra, ant
Dr. Lucille Harvey, Weepinbell, mammoth
Young Ruecker, Electabuzz, buffalo
Kizzy Macejkovic, Ninetales, ox
Sol Bartell, Sandslash, salmon
Dr. Ling Kreiger, Charizard, koala
Man Christiansen MD, Tentacool, cat
Collin Schoen, Shellder, cicada
Gearldine Kessler, Alakazam, scorpion
Tyrell Upton II, Farfetch'd, raccoon
Laurence Hackett, Dodrio, mosquito
Victor Renner, Paras, hound
Eloy Welch, Porygon, lizard
Socorro Thiel, Arcanine, woodchuck
Britany Considine, Beedrill, fly
Glennis Rodriguez, Muk, skunk
Emelia Reinger, Porygon, whale
Jerrod Flatley, Nidorino, porcupine
Miss Jesus Botsford, Exeggcute, cat
Carmella Sawayn Sr., Rhyhorn, jellyfish
