Inez Reinger, Ponyta, snail
Salvador Lynch, Mankey, prairie dog
Mr. Olympia O'Conner, Weezing, mole
Yi O'Hara II, Nidoking, yak
Mr. Marshall Pacocha, Parasect, bat
Erin Schumm, Spearow, tortoise
Elli Collins, Dragonair, mink
Sherwood Witting, Clefairy, mink
Assunta Nitzsche I, Metapod, lion
Katharine Lind, Slowpoke, duck
Michael VonRueden PhD, Rhydon, cricket
Shavonne Tillman MD, Starmie, grasshopper
Leonardo Hoeger, Slowbro, raven
Dorla Denesik, Charmander, louse
Jackeline Christiansen, Zubat, elk
Basilia Wolf DDS, Arbok, koala
Dr. Adria Hermann, Raichu, manatee
Gladis Satterfield II, Grimer, alligator
Kimber Strosin, Paras, reindeer
Lonny Daniel, Bulbasaur, dolphin
Miss Milo Friesen, Horsea, serval
Gavin Conroy V, Pikachu, lion
Jackson Treutel, Tauros, hare
Julio Powlowski I, Starmie, marten
Ali Nikolaus, Chansey, hare
Brian Kemmer, Zubat, gnu
Rosina Dach, Tentacruel, seal
Marinda Rolfson, Weepinbell, cricket
Latesha Gulgowski IV, Tauros, crocodile
Kyong Friesen, Tentacruel, hornet
Fletcher Kulas MD, Bellsprout, bear
Harold Turcotte, Dewgong, hare
Lamar Glover, Chansey, rhinoceros
Chi Fadel, Nidorino, hare
Evelynn Funk, Jynx, tiger
Barry Lebsack, Ditto, alpaca
Ms. Ferdinand Gerhold, Cubone, bat
Joaquin Block, Bulbasaur, serval
Dr. Garret Walker, Eevee, dinosaur
Sharolyn Bednar, Nidoran, cattle
Hollis Rosenbaum, Fearow, swan
Lavina Cronin, Weezing, zebra
Mitchell Lehner, Sandslash, eagle
Lissette Rice II, Mew, scorpion
Cameron Hickle, Nidorino, woodchuck
Kathyrn Ritchie I, Omastar, caribou
Norman Hills, Koffing, ox
Candelaria Turcotte, Snorlax, fly
Alda Bechtelar, Raichu, muskrat
Hipolito Hamill, Raticate, sheep
