Rhiannon Denesik II, Fearow, woodchuck
Scotty Rath, Rhydon, bat
Micah Gottlieb, Nidorina, serval
Keisha Yost, Farfetch'd, jackal
Mr. Otis Boyle, Grimer, baboon
Gertrud Goyette, Mankey, locust
Irving Swift, Primeape, trout
Mrs. Alta Erdman, Pidgeotto, wildebeest
Tony Ebert DDS, Onix, gerbil
Jamaal Flatley, Poliwrath, monkey
Yolando Beier, Jolteon, jackal
Mrs. Dirk Keeling, Magnemite, fox
Ms. Lowell Ziemann, Poliwhirl, alpaca
Mrs. Kathline Larkin, Poliwhirl, shark
Gilma Shields, Raticate, camel
Mr. Evelyne Mills, Magmar, jackal
Jacque Barton, Tentacruel, hyena
Vivien Kozey, Ivysaur, ape
Mr. Freddy Lindgren, Ninetales, hippopotamus
Mary Cormier, Weedle, platypus
Gilma Hand, Vileplume, yak
Delmar Durgan, Electrode, bat
Miss Michelina Ferry, Venusaur, goat
Benton Hodkiewicz, Haunter, minnow
Mr. Mitchel McDermott, Lapras, sheep
Miss Chantel Casper, Meowth, impala
Arnulfo Ankunding, Mew, gnu
Adrian Boyle, Arbok, rhinoceros
Miss Lourdes Reynolds, Staryu, skunk
Dinah Schamberger, Ekans, badger
Carmelia Prosacco, Jigglypuff, mule
Norman Schmidt, Staryu, hamster
Retta Hauck, Caterpie, turtle 
Mr. Elisha Rodriguez, Oddish, beetle
Carla O'Reilly, Dratini, woodchuck
Mai Marks, Moltres, weasel
Sammie Cassin, Diglett, moose
Mckinley Stamm, Doduo, tortoise
Mrs. Kathie Abbott, Psyduck, snake
Leah Balistreri, Nidoran, kangaroo
Ms. Colby Jast, Gengar, fly
Georgeann Blanda, Exeggcute, muskrat
Rikki DuBuque, Electrode, rat
Dinorah Crist, Zubat, badger
Maryam Cruickshank, Beedrill, skunk
Gerry McKenzie V, Wigglytuff, pug
Nelly Kuhlman, Zubat, manatee
Tanisha Kuhlman, Dragonite, wasp
Fabian Jerde, Horsea, pig
Darin Schinner, Electrode, gorilla
