Ronny Brekke, Seel, scorpion
Philip O'Hara, Gyarados, walrus
Madalyn Cronin, Diglett, mink
Kathi Mayert, Jigglypuff, alpaca
Alfred Howell, Spearow, wildebeest
Sixta Schmidt, Pinsir, sheep
Jeni Toy, Arbok, antelope
Arie Morar, Dodrio, mammoth
Delmer Davis, Fearow, dinosaur
Charita Kohler, Pikachu, hippopotamus
Val Ryan, Alakazam, beetle
Mrs. Karyl Purdy, Kakuna, cockroach
Adella Heaney, Vulpix, macaw
Celsa Thiel, Jigglypuff, hippopotamus
Mr. Angelena Rau, Rattata, coyote
Mr. Mayme O'Kon, Alakazam, cheetah
Mario Quigley, Machoke, mammoth
Steve Shanahan, Horsea, cod
Ray Greenfelder, Kabutops, water buffalo
Mr. Giuseppe Block, Ponyta, hedgehog
Isadora Dare, Weezing, cod
Ayesha Reichert, Diglett, alligator
Malcolm Langworth II, Omanyte, skunk
Cody Cartwright, Flareon, caribou
Elisha Satterfield, Omanyte, elk
Lara Larson, Exeggutor, mouse
Brian Cummerata I, Magmar, wombat
Desirae Littel III, Raichu, shark
Jim Marks, Moltres, beaver
Arletha Ruecker, Bulbasaur, reindeer
Korey Huels, Butterfree, hyena
Dr. Adolph Heathcote, Rhydon, dolphin
Gerald Homenick, Metapod, gerbil
Alisia Rempel DVM, Slowbro, gerbil
Ernest Koepp, Kabutops, horse
Zane Strosin, Kangaskhan, woodchuck
Myrta Klein, Seadra, otter
Mrs. Anjanette Berge, Magmar, badger
Penney Osinski Jr., Grimer, dog
Josh Smith, Clefable, muskrat
Petra Wilderman, Machop, porpoise
Micheal Nikolaus, Dragonite, squirrel
Colby King, Goldeen, squirrel
Dr. Lawrence Pagac, Hitmonchan, salmon
Milford Bartell, Nidoran, coyote
Lasonya Kuhn, Machamp, butterfly
Columbus Schiller, Seaking, hound
Deangelo Lockman, Kangaskhan, duck
Raymundo Hyatt, Pidgey, donkey
Mrs. Isabelle Hoeger, Cubone, hound
