Trevor Schaefer, Grimer, locust
Vannessa Mayer, Diglett, rhinoceros
Miss Abdul Christiansen, Dratini, woodchuck
Mr. Harold Prohaska, Magikarp, gnat
Consuelo Pacocha, Spearow, sheep
Christen Braun, Omastar, fly
Ms. Ute Romaguera, Dodrio, fish
Sid Hyatt, Clefable, chinchilla
Ira Johnston, Farfetch'd, donkey
Lanette Aufderhar MD, Sandslash, buffalo
Brittany Donnelly, Magmar, raven
Herbert Raynor, Graveler, giraffe
Mack Anderson, Machoke, goat
Josue Bauch, Pidgeotto, lizard
Dr. Dante Haag, Cubone, sea lion
Genie D'Amore, Ponyta, spider
Josiah Jerde, Spearow, hedgehog
Parker Connelly, Machop, toad
Eliseo Rohan, Hypno, frog
Jeanice Sanford, Arbok, whale
Fleta Cole, Diglett, water buffalo
Corey Schumm, Machoke, marten
Gino Hermiston MD, Poliwag, horse
Jerold Gutkowski IV, Koffing, moose
Mikel West, Weepinbell, locust
Melanie Wuckert, Nidoran, crocodile
Herman Waters V, Kabuto, rat
Cortez Prohaska, Weezing, buffalo
Carmon Howell III, Slowbro, muskrat
Patience Kuphal, Starmie, jackal
Jeannine Hermiston, Abra, oyster
Kevin Rosenbaum, Rhydon, snail
Chi Franecki, Butterfree, seal
Margery Kunze, Geodude, locust
Debrah Cummings, Aerodactyl, wildebeest
Misty O'Hara, Weedle, woodchuck
Dannie Schimmel PhD, Nidoran, giraffe
Buck Gerlach Jr., Weedle, mule
Sandie Streich, Chansey, alpaca
Silas Wilkinson, Kakuna, prairie dog
Melita Brekke, Meowth, fox
Gaynell Mitchell, Dugtrio, seal
Miss Alexander Mayert, Haunter, snake
Erasmo Stracke, Pidgeot, spider
Ezequiel Kuhic, Sandshrew, horse
Alysa Cormier, Drowzee, whale
Lettie Dooley, Machop, macaw
Mr. Tamela Bernier, Weedle, coyote
Mrs. Ellen Murazik, Squirtle, raccoon
Wynona Dicki, Nidoking, wasp
