Armand Stokes DVM, Articuno, squirrel
Pennie Shanahan, Nidorina, woodchuck
Ms. Marquis Kling, Rattata, otter
Ms. Henriette Prosacco, Dragonair, scorpion
Barbara Conn, Pidgey, tiger
Joesph Wuckert, Gyarados, otter
Francesco Rodriguez, Gyarados, seal
Eleni Bogisich, Kadabra, mole
Mr. Noriko Treutel, Tauros, lizard
Alyse Schinner, Hitmonlee, gorilla
Mrs. Michale Dare, Dugtrio, donkey
Judson Mitchell, Golduck, jellyfish
Sparkle Wunsch, Wartortle, ferret
Russell Macejkovic, Poliwag, mink
Ammie Cremin IV, Raichu, impala
Mrs. Charlyn Altenwerth, Meowth, salmon
Jeni Legros, Machop, raccoon
Vicky Reichel IV, Dragonair, sea lion
Sharyn Mohr, Meowth, locust
Leon Gutkowski V, Sandslash, salmon
Jesus Jacobson, Blastoise, muskrat
Elvie Hilll, Oddish, ox
Mrs. Kenneth Reichel, Moltres, pig
Ileen Boyer, Dratini, porcupine
Nicola Cole, Machamp, llama
Jess Zboncak, Venonat, wallaby
Derek Cormier, Ivysaur, moose
Armandina Hills, Abra, coyote
Jarod Gerlach, Sandshrew, mole
Tracey Hermiston, Psyduck, clam
Jannie Davis, Clefable, donkey
Evelyne Rutherford, Porygon, fox
Eliana Hauck, Growlithe, cheetah
Carroll Brekke, Nidoran, rabbit
Darrell Waelchi, Gengar, toad
Ms. Alan Osinski, Hitmonchan, fish
Doyle Jacobi, Muk, gnu
Ms. Wiley Brakus, Growlithe, koala
Cecila Bode, Kadabra, baboon
Stan Runolfsdottir, Pidgeotto, fly
Quiana Pouros, Electrode, coyote
Dr. Jamey Ernser, Poliwhirl, gerbil
Mel Ullrich, Psyduck, woodchuck
Paulina Konopelski, Pidgeotto, mule
Rosie King, Growlithe, fish
Tawanda Weber, Articuno, marten
Ms. Wilson Collins, Weezing, whale
Elbert Tromp, Raichu, gnat
Demetrius Lakin Jr., Abra, crab
Lula Crooks, Vulpix, fish
